id,infinitif_en,preterit,participe_passe,francais,allemand,espagnol,italien,portugais,arabe,chinois
188,speed,sped/speeded,sped/speeded,accélérer,beschleunigen,acelerar,accelerare,acelerar,يسرع,加速
189,spell,spelt/spelled,spelt/spelled,épeler,buchstabieren,deletrear,compitare,soletrar,يُهجّي,拼写
190,spend,spent,spent,dépenser,ausgeben,gastar,spendere,gastar,ينفق,花费
191,spill,spilt/spilled,spilt/spilled,renverser,verschütten,derramar,rovesciare,derramar,يسكب,洒
192,spin,spun,spun,faire tourner,spinnen,girar,filare,girar,يدور,旋转
193,spit,spat/spit,spat/spit,cracher,spucken,escupir,sputare,cuspir,يبصق,吐
194,split,split,split,diviser,spalten,dividir,dividere,dividir,يقسم,分裂
195,spoil,spoilt/spoiled,spoilt/spoiled,gâcher,verderben,estropear,rovinare,estragar,يفسد,破坏
196,spread,spread,spread,étaler,verbreiten,extender,spalmare,espalhar,ينشر,传播
197,spring,sprang,sprung,sauter,springen,saltar,balzare,saltar,يقفز,跳
198,stand,stood,stood,se tenir debout,stehen,estar de pie,stare in piedi,ficar de pé,يقف,站立
199,steal,stole,stolen,voler,stehlen,robar,rubare,roubar,يسرق,偷
200,stick,stuck,stuck,coller,kleben,pegar,attaccare,colar,يلصق,粘
201,sting,stung,stung,piquer,stechen,picar,pungere,picar,يلسع,蜇
202,stink,stank,stunk,puer,stinken,apestar,puzzare,feder,ينتن,臭
203,stride,strode,stridden,marcher à grands pas,schreiten,caminar a zancadas,camminare a grandi passi,andar a passos largos,يمشي بخطوات واسعة,大步走
204,strike,struck,struck,frapper,schlagen,golpear,colpire,golpear,يضرب,击打
205,string,strung,strung,enfiler,auffädeln,encordar,infilare,encordoar,يخيط,串
206,strive,strove,striven,s’efforcer,streben,esforzarse,sforzarsi,esforçar-se,يسعى,努力
207,swear,swore,sworn,jurer,schwören,jurar,giurare,jurar,يحلف,发誓
208,sweep,swept,swept,balayer,fegen,barrer,spazzare,varrer,يكنس,打扫
209,swell,swelled,swollen/swelled,enfler,anschwellen,hinchar,gonfiare,inchar,يتورم,肿胀
210,swim,swam,swum,nager,schwimmen,nadar,nuotare,nadar,يسبح,游泳
211,swing,swung,swung,balancer,schwingen,balancear,dondolare,balançar,يتأرجح,摆动
212,take,took,taken,prendre,nehmen,tomar,cogliere,tomar,يأخذ,拿
213,teach,taught,taught,enseigner,unterrichten,enseñar,insegnare,ensinar,يُعلّم,教
214,tear,tore,torn,déchirer,zerreißen,rasgar,strappare,rasgar,يمزق,撕裂
215,tell,told,told,dire,erzählen,decir,raccontare,dizer,يخبر,告诉
216,think,thought,thought,penser,denken,pensar,pensare,pensar,يفكر,思考
217,thrive,throve/thrived,thriven/thrived,prospérer,gedeihen,prosperar,prosperare,prosperar,يزدهر,繁荣
218,throw,threw,thrown,jeter,werfen,lanzar,gettare,atirar,يرمي,扔
219,thrust,thrust,thrust,poignarder/pousser,stoßen,empujar,spingere,empurrar,يدفع,推
220,tread,trod,trodden,fouler,treten,pisar,calpestare,pisar,يدوس,踩
221,unbend,unbent,unbent,déplier,entkrümmen,desdoblar,spiegare,desdobrar,يفرد,展开
222,unbind,unbound,unbound,délier,entbinden,desatar,sciogliere,desatar,يفك,解开
223,underbid,underbid,underbid,sous-enchérir,unterbieten,subofertar,offrire meno,ofertar menos,يقلل العرض,压低出价
224,undercut,undercut,undercut,casser les prix,unterbieten,socavar,tagliare sotto,subcotizar,يخفض السعر,削价
225,undergo,underwent,undergone,subir,erfahren,someterse,subire,submeter-se,يخضع,经历
226,underlie,underlay,underlain,sous-tendre,unterliegen,subyacer,sottendere,subjaz,يكمن,位于…之下
227,understand,understood,understood,comprendre,verstehen,entender,capire,entender,يفهم,理解
228,undertake,undertook,undertaken,entreprendre,unternehmen,emprender,intraprendere,empreender,يشرع,承担
229,undo,undid,undone,annuler,aufmachen,deshacer,disfare,desfazer,يفك,撤销
230,unfreeze,unfroze,unfrozen,dégeler,auftauen,descongelar,scongelare,descongelar,يذيب,解冻
231,unwind,unwound,unwound,se détendre,entspannen,relajarse,rilassarsi,relaxar,يسترخي,放松
232,uphold,upheld,upheld,soutenir,aufrechterhalten,defender,sostenere,manter,يدعم,支持
233,upset,upset,upset,bouleverser,verärgern,alterar,sconvolgere,perturbar,يزعج,使心烦
234,wake,woke,woken,se réveiller,aufwachen,despertarse,svegliarsi,acordar,يستيقظ,醒来
235,waylay,waylaid,waylaid,guetter,überfallen,asaltar,assalire,assaltar,يترصد,埋伏
236,wear,wore,worn,porter (vêtement),tragen,llevar,indossare,usar,يرتدي,穿
237,weave,wove,woven,tisser,weben,tejer,tessere,tecer,ينسج,编织
238,wed,wed/wedded,wed/wedded,épouser,heiraten,casarse,sposare,casar,يتزوج,结婚
239,weep,wept,wept,pleurer, weinen,llorar,piangere,chorar,يبكي,哭
240,wet,wet/wetted,wet/wetted,mouiller,befeuchten,mojar,bagnare,umedecer,يبلل,弄湿
241,win,won,won,gagner,gewinnen,ganar,vincere,ganhar,يفوز,赢
242,wind,wound,wound,enrouler,wickeln,enrollar,avvolgere,enrolar,يلف,卷
243,withdraw,withdrew,withdrawn,retirer,abheben,retirar,ritirare,retirar,يسحب,撤回
244,withhold,withheld,withheld,retenir,vorenthalten,retener,trattenere,reter,يحجب,扣留
245,withstand,withstood,withstood,résister,standhalten,resistir,resistere,resistir,يصمد,承受
246,wring,wrung,wrung,tordre,wringen,retorcer,strizzare,torcer,يعصر,拧
247,write,wrote,written,écrire,schreiben,escribir,scrivere,escrever,يكتب,写
